mes_ano,distancia_total
2023-05,577.1700000000001
2023-09,620.73
2023-03,65.34
2023-02,108.9
2023-07,947.4299999999998
2023-04,435.6
2023-06,827.6399999999999
2023-08,1012.7700000000001
