data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao,datetime_partida_gabarito,datetime_chegada_gabarito
2023-01-02,010,V,A72037,2023-01-02 15:36:26,2023-01-02 15:48:47,4.902,2023-01-02 15:32:00,2023-01-02 15:54:00
2023-01-02,010,I,A72037,2023-01-02 15:57:13,2023-01-02 16:16:33,5.505,2023-01-02 15:55:00,2023-01-02 16:20:00
2023-01-02,010,V,A72085,2023-01-02 16:10:31,2023-01-02 16:24:11,4.902,2023-01-02 16:06:00,2023-01-02 16:31:00
2023-01-02,010,V,A72037,2023-01-02 16:29:58,2023-01-02 16:47:39,4.902,2023-01-02 16:28:00,2023-01-02 16:59:00
2023-01-02,010,I,A72085,2023-01-02 16:35:59,2023-01-02 16:56:40,5.505,2023-01-02 16:34:00,2023-01-02 16:59:00
2023-01-02,010,I,A72037,2023-01-02 17:06:04,2023-01-02 17:21:05,5.505,2023-01-02 17:02:00,2023-01-02 17:23:00
2023-01-02,010,V,A72085,2023-01-02 17:14:19,2023-01-02 17:27:20,4.902,2023-01-02 17:12:00,2023-01-02 17:34:00
2023-01-02,010,V,A72037,2023-01-02 17:30:25,2023-01-02 17:46:26,4.902,2023-01-02 17:27:00,2023-01-02 17:57:00
2023-01-02,010,I,A72085,2023-01-02 17:41:27,2023-01-02 17:56:48,5.505,2023-01-02 17:40:00,2023-01-02 17:59:00
2023-01-02,010,I,A72037,2023-01-02 18:04:26,2023-01-02 18:25:07,5.505,2023-01-02 18:02:00,2023-01-02 18:27:00
2023-01-02,010,V,A72085,2023-01-02 18:08:17,2023-01-02 18:23:18,4.902,2023-01-02 18:05:00,2023-01-02 18:33:00
2023-01-02,010,V,A72037,2023-01-02 18:34:09,2023-01-02 18:46:50,4.902,2023-01-02 18:31:00,2023-01-02 18:53:00
2023-01-02,010,I,A72085,2023-01-02 18:38:22,2023-01-02 18:55:22,5.505,2023-01-02 18:36:00,2023-01-02 18:57:00
2023-01-02,010,I,A72037,2023-01-02 18:58:29,2023-01-02 19:16:50,5.505,2023-01-02 18:56:00,2023-01-02 19:19:00
2023-01-02,010,V,A72085,2023-01-02 19:12:03,2023-01-02 19:24:04,4.902,2023-01-02 19:08:00,2023-01-02 19:32:00
2023-01-02,010,V,A72037,2023-01-02 19:27:24,2023-01-02 19:50:25,4.902,2023-01-02 19:24:00,2023-01-02 20:02:00
2023-01-02,010,I,A72085,2023-01-02 19:36:55,2023-01-02 19:52:36,5.505,2023-01-02 19:35:00,2023-01-02 19:55:00
2023-01-02,010,I,A72037,2023-01-02 20:05:26,2023-01-02 20:24:26,5.505,2023-01-02 20:03:00,2023-01-02 20:27:00
