data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao
2023-01-03,010,V,A72037,2023-01-03 07:29:00,2023-01-03 07:56:00,4.902
2023-01-03,010,I,A72085,2023-01-03 07:33:00,2023-01-03 07:53:00,5.505
2023-01-03,010,V,A72085,2023-01-03 07:59:00,2023-01-03 08:31:00,4.902
2023-01-03,010,I,A72037,2023-01-03 08:02:00,2023-01-03 08:20:00,5.505
2023-01-03,010,V,A72037,2023-01-03 08:30:00,2023-01-03 09:01:00,4.902
2023-01-03,010,I,A72085,2023-01-03 08:35:00,2023-01-03 09:03:00,5.505
2023-01-03,010,I,A72037,2023-01-03 09:05:00,2023-01-03 09:28:00,5.505
2023-01-03,010,V,A72085,2023-01-03 09:06:00,2023-01-03 09:33:00,4.902
2023-01-03,010,V,A72037,2023-01-03 09:30:00,2023-01-03 10:03:00,4.902
2023-01-03,010,I,A72085,2023-01-03 09:36:00,2023-01-03 10:05:00,5.505
2023-01-03,010,V,A72085,2023-01-03 10:07:00,2023-01-03 10:33:00,4.902
2023-01-03,010,I,A72037,2023-01-03 10:08:00,2023-01-03 10:30:00,5.505
2023-01-03,010,V,A72037,2023-01-03 10:32:00,2023-01-03 11:02:00,4.902
2023-01-03,010,I,A72085,2023-01-03 10:40:00,2023-01-03 11:04:00,5.505
2023-01-03,010,V,A72085,2023-01-03 11:07:00,2023-01-03 11:30:00,4.902
2023-01-03,010,I,A72037,2023-01-03 11:07:00,2023-01-03 11:32:00,5.505
2023-01-03,010,V,A72037,2023-01-03 11:34:00,2023-01-03 11:56:00,4.902
2023-01-03,010,I,A72085,2023-01-03 11:36:00,2023-01-03 12:02:00,5.505
2023-01-03,010,I,A72037,2023-01-03 12:01:00,2023-01-03 12:25:00,5.505
2023-01-03,010,V,A72085,2023-01-03 12:04:00,2023-01-03 12:27:00,4.902
2023-01-03,010,I,A72085,2023-01-03 12:29:00,2023-01-03 12:50:00,5.505
2023-01-03,010,V,A72037,2023-01-03 12:32:00,2023-01-03 12:54:00,4.902
2023-01-03,010,V,A72085,2023-01-03 12:51:00,2023-01-03 13:24:00,4.902
2023-01-03,010,I,A72037,2023-01-03 12:57:00,2023-01-03 13:22:00,5.505
2023-01-03,010,I,A72085,2023-01-03 13:27:00,2023-01-03 13:53:00,5.505
2023-01-03,010,V,A72037,2023-01-03 13:31:00,2023-01-03 13:59:00,4.902
2023-01-03,010,V,A72085,2023-01-03 13:54:00,2023-01-03 14:26:00,4.902
2023-01-03,010,I,A72037,2023-01-03 14:00:00,2023-01-03 14:28:00,5.505
2023-01-03,010,I,A72085,2023-01-03 14:29:00,2023-01-03 15:00:00,5.505
2023-01-03,010,V,A72037,2023-01-03 14:33:00,2023-01-03 15:01:00,4.902
2023-01-03,010,I,A72037,2023-01-03 15:05:00,2023-01-03 15:37:00,5.505
2023-01-03,010,V,A72085,2023-01-03 15:07:00,2023-01-03 15:38:00,4.902
2023-01-03,010,V,A72037,2023-01-03 15:38:00,2023-01-03 16:02:00,4.902
2023-01-03,010,I,A72085,2023-01-03 15:40:00,2023-01-03 16:11:00,5.505
2023-01-03,010,I,A72037,2023-01-03 16:03:00,2023-01-03 16:35:00,5.505
2023-01-03,010,V,A72085,2023-01-03 16:13:00,2023-01-03 16:43:00,4.902
2023-01-03,010,V,A72037,2023-01-03 16:36:00,2023-01-03 17:09:00,4.902
2023-01-03,010,I,A72085,2023-01-03 16:44:00,2023-01-03 17:16:00,5.505
2023-01-03,010,V,A72085,2023-01-03 17:18:00,2023-01-03 17:59:00,4.902
2023-01-03,010,I,A72151,2023-01-03 17:50:00,2023-01-03 18:25:00,5.505
2023-01-03,010,I,A72085,2023-01-03 18:02:00,2023-01-03 18:59:00,5.505
2023-01-03,010,V,A72151,2023-01-03 18:27:00,2023-01-03 19:13:00,4.902
2023-01-03,010,V,A72085,2023-01-03 19:01:00,2023-01-03 20:16:00,4.902
2023-01-03,010,I,A72151,2023-01-03 19:19:00,2023-01-03 20:17:00,5.505
2023-01-03,010,V,A72151,2023-01-03 20:18:00,2023-01-03 21:00:00,4.902
2023-01-03,010,I,A72151,2023-01-03 21:03:00,2023-01-03 21:20:00,5.505
2023-01-03,010,V,A72085,2023-01-03 21:18:00,2023-01-03 21:37:00,4.902
2023-01-03,010,I,A72085,2023-01-03 21:20:00,2023-01-03 21:36:00,5.505
2023-01-03,010,I,A72085,2023-01-03 21:38:00,2023-01-03 21:59:00,5.505
2023-01-04,010,I,A72037,2023-01-04 06:00:00,2023-01-04 06:16:00,5.505
2023-01-04,010,V,A72037,2023-01-04 06:28:00,2023-01-04 07:01:00,4.902
2023-01-04,010,I,A72085,2023-01-04 06:30:00,2023-01-04 06:50:00,5.505
2023-01-04,010,V,A72085,2023-01-04 06:59:00,2023-01-04 07:28:00,4.902
2023-01-04,010,I,A72037,2023-01-04 07:03:00,2023-01-04 07:26:00,5.505
2023-01-04,010,V,A72037,2023-01-04 07:29:00,2023-01-04 07:53:00,4.902
2023-01-04,010,I,A72085,2023-01-04 07:30:00,2023-01-04 07:50:00,5.505
2023-01-04,010,V,A72085,2023-01-04 07:59:00,2023-01-04 08:29:00,4.902
2023-01-04,010,I,A72037,2023-01-04 08:01:00,2023-01-04 08:24:00,5.505
2023-01-04,010,I,A72085,2023-01-04 08:32:00,2023-01-04 09:00:00,5.505
2023-01-04,010,V,A72037,2023-01-04 08:33:00,2023-01-04 09:03:00,4.902
2023-01-04,010,V,A72085,2023-01-04 09:03:00,2023-01-04 09:31:00,4.902
2023-01-04,010,I,A72037,2023-01-04 09:07:00,2023-01-04 09:30:00,5.505
2023-01-04,010,V,A72037,2023-01-04 09:32:00,2023-01-04 10:01:00,4.902
2023-01-04,010,I,A72085,2023-01-04 09:34:00,2023-01-04 10:04:00,5.505
2023-01-04,010,I,A72037,2023-01-04 10:05:00,2023-01-04 10:33:00,5.505
2023-01-04,010,V,A72085,2023-01-04 10:07:00,2023-01-04 10:33:00,4.902
2023-01-04,010,V,A72037,2023-01-04 10:34:00,2023-01-04 11:04:00,4.902
2023-01-04,010,I,A72085,2023-01-04 10:35:00,2023-01-04 11:04:00,5.505
2023-01-04,010,V,A72085,2023-01-04 11:06:00,2023-01-04 11:27:00,4.902
2023-01-04,010,I,A72037,2023-01-04 11:08:00,2023-01-04 11:34:00,5.505
2023-01-04,010,I,A72085,2023-01-04 11:30:00,2023-01-04 11:58:00,5.505
2023-01-04,010,V,A72037,2023-01-04 11:37:00,2023-01-04 11:58:00,4.902
2023-01-04,010,I,A72037,2023-01-04 12:02:00,2023-01-04 12:28:00,5.505
2023-01-04,010,V,A72085,2023-01-04 12:03:00,2023-01-04 12:30:00,4.902
2023-01-04,010,I,A72085,2023-01-04 12:32:00,2023-01-04 13:03:00,5.505
2023-01-04,010,V,A72037,2023-01-04 12:32:00,2023-01-04 12:53:00,4.902
2023-01-04,010,I,A72037,2023-01-04 12:55:00,2023-01-04 13:26:00,5.505
2023-01-04,010,V,A72085,2023-01-04 13:05:00,2023-01-04 13:37:00,4.902
2023-01-04,010,V,A72037,2023-01-04 13:31:00,2023-01-04 14:07:00,4.902
2023-01-04,010,I,A72085,2023-01-04 13:39:00,2023-01-04 14:05:00,5.505
2023-01-04,010,V,A72085,2023-01-04 14:06:00,2023-01-04 14:34:00,4.902
2023-01-04,010,I,A72037,2023-01-04 14:09:00,2023-01-04 14:38:00,5.505
2023-01-04,010,I,A72085,2023-01-04 14:35:00,2023-01-04 15:04:00,5.505
2023-01-04,010,V,A72037,2023-01-04 14:41:00,2023-01-04 15:12:00,4.902
2023-01-04,010,V,A72085,2023-01-04 15:06:00,2023-01-04 15:34:00,4.902
2023-01-04,010,I,A72037,2023-01-04 15:14:00,2023-01-04 15:51:00,5.505
2023-01-04,010,I,A72085,2023-01-04 15:36:00,2023-01-04 16:08:00,5.505
2023-01-04,010,V,A72037,2023-01-04 15:52:00,2023-01-04 16:25:00,4.902
2023-01-04,010,V,A72085,2023-01-04 16:10:00,2023-01-04 16:38:00,4.902
2023-01-04,010,I,A72037,2023-01-04 16:27:00,2023-01-04 16:59:00,5.505
2023-01-04,010,I,A72085,2023-01-04 16:40:00,2023-01-04 17:07:00,5.505
2023-01-04,010,V,A72037,2023-01-04 17:01:00,2023-01-04 17:36:00,4.902
2023-01-04,010,V,A72085,2023-01-04 17:16:00,2023-01-04 17:49:00,4.902
2023-01-04,010,I,A72037,2023-01-04 17:39:00,2023-01-04 18:11:00,5.505
2023-01-04,010,I,A72085,2023-01-04 17:51:00,2023-01-04 18:15:00,5.505
2023-01-04,010,V,A72037,2023-01-04 18:13:00,2023-01-04 18:49:00,4.902
2023-01-04,010,V,A72085,2023-01-04 18:22:00,2023-01-04 19:04:00,4.902
2023-01-04,010,I,A72037,2023-01-04 18:49:00,2023-01-04 19:15:00,5.505
2023-01-04,010,I,A72085,2023-01-04 19:06:00,2023-01-04 19:28:00,5.505
2023-01-04,010,V,A72037,2023-01-04 19:18:00,2023-01-04 19:45:00,4.902
2023-01-04,010,V,A72085,2023-01-04 19:38:00,2023-01-04 20:02:00,4.902
2023-01-04,010,I,A72037,2023-01-04 19:47:00,2023-01-04 20:07:00,5.505
2023-01-04,010,I,A72085,2023-01-04 20:09:00,2023-01-04 20:29:00,5.505
2023-01-04,010,V,A72037,2023-01-04 20:14:00,2023-01-04 20:41:00,4.902
2023-01-04,010,V,A72085,2023-01-04 20:32:00,2023-01-04 20:54:00,4.902
2023-01-04,010,I,A72037,2023-01-04 20:42:00,2023-01-04 21:00:00,5.505
2023-01-04,010,I,A72085,2023-01-04 20:56:00,2023-01-04 21:14:00,5.505
2023-01-05,010,I,A72037,2023-01-05 06:03:00,2023-01-05 06:18:00,5.505
2023-01-05,010,I,A72085,2023-01-05 06:30:00,2023-01-05 06:50:00,5.505
2023-01-05,010,V,A72037,2023-01-05 06:31:00,2023-01-05 06:59:00,4.902
2023-01-05,010,V,A72085,2023-01-05 06:59:00,2023-01-05 07:26:00,4.902
2023-01-05,010,I,A72037,2023-01-05 07:05:00,2023-01-05 07:26:00,5.505
2023-01-05,010,I,A72085,2023-01-05 07:28:00,2023-01-05 07:54:00,5.505
2023-01-05,010,V,A72037,2023-01-05 07:28:00,2023-01-05 07:58:00,4.902
2023-01-05,010,V,A72085,2023-01-05 08:00:00,2023-01-05 08:27:00,4.902
2023-01-05,010,I,A72037,2023-01-05 08:02:00,2023-01-05 08:27:00,5.505
2023-01-05,010,V,A72037,2023-01-05 08:29:00,2023-01-05 08:58:00,4.902
2023-01-05,010,I,A72085,2023-01-05 08:31:00,2023-01-05 08:56:00,5.505
2023-01-05,010,V,A72085,2023-01-05 09:00:00,2023-01-05 09:28:00,4.902
2023-01-05,010,I,A72037,2023-01-05 09:02:00,2023-01-05 09:26:00,5.505
2023-01-05,010,V,A72037,2023-01-05 09:28:00,2023-01-05 09:58:00,4.902
2023-01-05,010,I,A72085,2023-01-05 09:29:00,2023-01-05 09:56:00,5.505
2023-01-05,010,V,A72085,2023-01-05 10:01:00,2023-01-05 10:27:00,4.902
2023-01-05,010,I,A72037,2023-01-05 10:03:00,2023-01-05 10:32:00,5.505
2023-01-05,010,I,A72085,2023-01-05 10:28:00,2023-01-05 10:54:00,5.505
2023-01-05,010,V,A72037,2023-01-05 10:36:00,2023-01-05 11:07:00,4.902
